{'短评内容': '不错，环境优美，值得选择', '短评打分': 3}
{'短评内容': '卫生还将就，但是酒店设施实在是很简陋，这个价格相比确实性价比比较低。', '短评打分': 3}
{'短评内容': '卫生还将就，但是酒店设施实在是很简陋，这个价格相比确实性价比比较低。', '短评打分': 3}
{'短评内容': '嫌疑：定的是两房一天，入住时前台却说两天一房，应该是高级房不够的借口。交涉后前台给了个一般间，却不说明价差。种种行迹疑似商业欺诈。\n人祸：房间卫生一般。烟味刺鼻。隔音极差，大批旅行团晚进早出，早上六点即大声喧哗，拖箱拉柜，有如菜市场。另外酒店位置表示不明，外地人很难找到。\n优点：停车接待态度不错，大厅装修不错。\n结论：疑似黑店，散客需避而远之。', '短评打分': 1}
{'短评内容': '酒店让我入住之后就有家的感觉，他们会在室内装饰一些小的具有民族特色的挂件，很漂亮.而且酒店给我感觉真是小桥流水.', '短评打分': 5}
{'短评内容': '丽江的房间都是古香古色的，当然这家也不例外，确实很不错，住着舒服惬意，很有感觉.', '短评打分': 5}
{'短评内容': '位置好，房间卫生条件也好，在这里可以很轻松的欣赏到丽江的美景.酒店服务也好.', '短评打分': 5}
{'短评内容': '位置好，房间卫生条件也好，在这里可以很轻松的欣赏到丽江的美景.酒店服务也好.', '短评打分': 5}
{'短评内容': '酒店让我入住之后就有家的感觉，他们会在室内装饰一些小的具有民族特色的挂件，很漂亮.而且酒店给我感觉真是小桥流水.', '短评打分': 5}
{'短评内容': '丽江的房间都是古香古色的，当然这家也不例外，确实很不错，住着舒服惬意，很有感觉.', '短评打分': 5}
{'短评内容': '房间布置的整洁舒适，隔音效果也很好，晚上休息的话很安静。', '短评打分': 5}
{'短评内容': '酒店开业时间不错，设施配置都很不错，房间也比较宽敞。', '短评打分': 5}
{'短评内容': '酒店的服务人员很热情，房间设施配置也比较新。值得推荐的一个地方。', '短评打分': 5}
{'短评内容': '酒店的室内设计很不错，很有情调的一家。环境设施都很好。', '短评打分': 5}
{'短评内容': '性价比较差，服务员的素质不高，对客人的态度也不太好', '短评打分': 1}
{'短评内容': '建筑外观和设施都比较有特色。', '短评打分': 5}
{'短评内容': '酒店里有火炉、酒吧等，有的时候还有乐队表演，设施多，娱乐项目也多。', '短评打分': 5}
{'短评内容': '服务员大多是少数民族，热情淳朴，周到细致，询问什么事情也耐心的解答。', '短评打分': 5}
{'短评内容': '位置可以，设计也别有特色，晚上可以看夜景，挺惬意的。', '短评打分': 5}
{'短评内容': '房间整洁安静，晚上睡眠质量比较好，很喜欢。', '短评打分': 5}
{'短评内容': '酒店位置很好，挨着景点，出行便利。', '短评打分': 5}
