{'短评内容': ' 两个字 垃圾', '短评打分': 3}
{'短评内容': '水太小（18楼）；空调制热效果可能不错，另一种功能太次；房间够大；前台MM非常热情，把我交的押金验过后又退给我，搞得我不好意思（是不是太露骨了，老婆在身边啊）。', '短评打分': 1}
{'短评内容': '长沙新东方大酒店是性价比高酒店，适合出差的朋友。', '短评打分': 5}
{'短评内容': '酒店环境比较差，房间设施很简单，位置还是挺好找，态度也就一般，价格还是偏高了。', '短评打分': 1}
{'短评内容': '稀烂的酒店，卫生差，设施又旧又破，再也不去住了……', '短评打分': 1}
{'短评内容': '太一般的酒店了，没有暖风，还好长沙不冷。', '短评打分': 1}
{'短评内容': '地理位置还行，交通出行方便，房间卫生条件不错，设施有些陈旧，其他都还好', '短评打分': 3}
{'短评内容': '房间挺大的，卫生打扫也不错，位置挺好，出行挺方便，停车也挺方便。', '短评打分': 5}
{'短评内容': '这家酒店住过几次，卫生方面还不错，周边购物很方便，很适合爱逛街的女士。', '短评打分': 3}
{'短评内容': '酒店位于繁华地带，周边交通购物很方便，房间里挺干净的，电视收到频道也挺多。', '短评打分': 3}
{'短评内容': '房间里挺干净，家具挺齐全，有网线能上网，感觉挺不错。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，服务态度也较差。', '短评打分': 3}
