{'短评内容': '房间设施安静，干净舒适，去机场五分钟，特方便', '短评打分': 5}
{'短评内容': '前台的服务非常差，五星级的消费，一星级的服务。', '短评打分': 1}
{'短评内容': '酒店离机场比较近，挺方便的。配套也比较齐全，有健身房，有恒温游泳池，有时间去做做运动，挥洒一下汗水，也是不错的选择。入住房间还有水果送，小小的惊喜。大床房的房间虽然不是很大，不过也算挺舒适的。', '短评打分': 5}
{'短评内容': '前台服务非常好，非常热情周到，住的非常舒服', '短评打分': 5}
{'短评内容': '位置便利，环境很好', '短评打分': 5}
{'短评内容': '没注意是副楼，而且只有20平米，加钱换了房间，还是不如意，卫生间的门关不上，淋浴房门也合不紧，难以想象是一个五星酒店。', '短评打分': 4}
{'短评内容': '酒店前台服务态度挺好，不过副楼肯定不够5星，综合也就3星半最多4星，房间还算整洁，不过看起来稍陈旧的样子，没什么怪味道。不过临近楼间断有施工，个别时段有点吵。离机场还算近，打车10分钟内。整体评价不错吧，性价比一般。', '短评打分': 4}
{'短评内容': '挺不错', '短评打分': 5}
{'短评内容': '非常好，经常来住，五星级的副楼，只是价格定位稍高了点。环境非常好。很安静', '短评打分': 5}
{'短评内容': '房间很好服务态度很好', '短评打分': 5}
{'短评内容': '周围装修一塌糊涂。附楼服务员微笑服务不到位。服务需要提升。', '短评打分': 3}
{'短评内容': '在机场附近，服务人员态度很好，房间很大，住宿很舒服。入住送了些水果，很好吃。', '短评打分': 5}
{'短评内容': '一般一般吧', '短评打分': 3}
{'短评内容': '房间小，一般一般', '短评打分': 3}
{'短评内容': '住过好多次这里，这次体验最差，说是给我升级个套房，实际是电梯旁，一个晚上也没消停，空调还是坏的，后来送个暖风，一个晚上基本没睡，一塌糊涂，', '短评打分': 2}
{'短评内容': '早上67点被施工工地的声音吵醒，累觉不爱。', '短评打分': 4}
{'短评内容': '房间不大，其他都还好，在该区域是唯一上档次的酒店。', '短评打分': 4}
{'短评内容': '离机场近，其他方面一般', '短评打分': 5}
{'短评内容': '总体还行！', '短评打分': 5}
{'短评内容': '还行～～～', '短评打分': 5}
{'短评内容': '附近最好的酒店啦。房间蛮大的。稍贵。小单房间还是可以的', '短评打分': 5}
{'短评内容': '不错，物有所值的酒店，可能生意好吧，前台手续办理要等，也还算顺利', '短评打分': 5}
{'短评内容': '地理位置偏，服务不好，周围没有什么，不想5星的，去机场还是不错的', '短评打分': 1}
{'短评内容': '算是龙湾比较好的酒店，房间不错，尤其满意卫生间，很大~还有就是早餐比较丰富~很多糕点，女生会喜欢', '短评打分': 5}
{'短评内容': '酒店各方面还不错  不过订的2间高级房 给的是楼层两头房  房间小 且2间间隔距离过远 看来高级间不够高级', '短评打分': 5}
{'短评内容': '设施硬件水平都不错，地方离机场近，赶飞机的人适合', '短评打分': 3}
{'短评内容': '相当好，机场附近首选。就是打的不太方便，赶飞机的话可以租酒店的奥迪去', '短评打分': 5}
{'短评内容': '出乎意料的酒店 这个价格的酒店还比较值的，环境设施不错，服务方面可以再好点', '短评打分': 5}
{'短评内容': '因为是商务出差，所以选这个酒店很适合,酒店还可以直接安排车接送，很好', '短评打分': 5}
{'短评内容': '这个酒店在机场附，近挺不错，很方便。。。跟国际品牌的五星酒店虽然还有点差距，但整体感觉还是比较舒服的', '短评打分': 5}
{'短评内容': '此酒店距离机场比较近，周边吃饭比较方便，房间干净卫生', '短评打分': 5}
{'短评内容': '一句话：很值的酒店。。。与同档次的酒店相比，性价比略高', '短评打分': 5}
{'短评内容': '装修还是不错的，窗外是别墅区，景色也不错，就是离市区太远了，不方便，离机场是非常近的，打车也不方便', '短评打分': 1}
{'短评内容': '中规中举 的酒店，没有鲜明的特色，周边不是很繁华，但离机场比较近', '短评打分': 5}
{'短评内容': '很不错，离机场很近，在前台付20元，酒店派奥迪车送飞机，适合商务，很有派头哦', '短评打分': 5}
{'短评内容': '酒店设施挺新，早餐也很丰富， 但是离市区太远了，如果是跑龙湾区的工厂，还算是比较近的，离机场也很近，甚至出租车都不愿意往这里跑，搭车不太方便，只能三轮车或者黑的士。附近没有什么商店和餐厅，只能在酒店里吃饭。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店设施挺新，早餐也很丰富， 但是离市区太远了，如果是跑龙湾区的工厂，还算是比较近的，离机场也很近，甚至出租车都不愿意往这里跑，搭车不太方便，只能三轮车或者黑的士。附近没有什么商店和餐厅，只能在酒店里吃饭。', '短评打分': 5}
{'短评内容': '酒店是不错的，只是周围没商圈……酒店里面倒是有K歌，健身什么的，但肯定没专业健身房的设备了。也听说附近有个什么山的游玩景点，不过要团体出差时去玩才好玩', '短评打分': 5}
{'短评内容': '酒店还算可以，为工作才选这家的，价格偏贵，但相对酒店的装潢和服务还是很值的', '短评打分': 5}
{'短评内容': '十酒店服务员态度好，环境好，安静舒适，很理想！', '短评打分': 3}
{'短评内容': '酒店环境不错，外出的话可随时跟酒店订车，如果费用再低点就好了。\n游泳池水质挺很好，人不多，可以畅游呢', '短评打分': 5}
{'短评内容': '这是第二次住这家酒店。和上次一样，住的是01房。惊喜的是，上次旁边扰民低音炮轰到到夜间两点的舞厅停业了。', '短评打分': 3}
{'短评内容': '酒店比较新，还算不错，虽然我不喜欢与卧室直接透明连接的卫生间。\n离市区非常远，距离飞机场比较近，但酒店服务在这方面很差，没有机场班车服务。虽然提供了20元送机服务，但仍然让客人感到不舒服。毕竟，机场附近的酒店提供接送机服务已经是一种惯例了。', '短评打分': 5}
{'短评内容': '不错的酒店，大厅很豪华，房间也很干净，就是离市区有点远', '短评打分': 5}
{'短评内容': '和机场距离5分钟,很方便,不过不在市区,酒店旁边晚上是比较安静', '短评打分': 5}
{'短评内容': '酒店不错，免费接机。房间也可以，早餐也还不错。服务态度很好。表扬。', '短评打分': 5}
{'短评内容': '环境还可以,就是距离机场比较近，去机场是很方便的', '短评打分': 5}
{'短评内容': '不错的酒店，大厅很豪华，房间也很干净，就是离市区有点远。', '短评打分': 5}
{'短评内容': '硬件不错。但预定者请留意:\n1)中餐餐厅很贵(周围什么都没有,很破)\n2)入住,吃饭时会被问手机号码(俗气)\n3)服务员比较像打工妹\n4)出了离机场近没有任何便利住处', '短评打分': 5}
{'短评内容': '不错，可以推荐。\n\n就是隔壁的MTV晚上太吵了。\n', '短评打分': 5}
{'短评内容': '送餐时间太长了，其他的都不错。\n送餐时间太长了，其他的都不错。', '短评打分': 5}
{'短评内容': '装修和服务都不错，早餐超棒。就是每次接送机都要30元，离机场这么近啊。', '短评打分': 5}
{'短评内容': '服务好 环境好，距离机场打的10分钟！无骚扰！ 赞一个！！', '短评打分': 5}
{'短评内容': '酒店很干净，交通也很便利', '短评打分': 3}
{'短评内容': '机场附近最好的选择，干净舒适。就是出租车少，花30块钱酒店派辆奥迪送机场，呵呵。', '短评打分': 5}
{'短评内容': '第二次住了,总体不错,室内泳池很好,出差在外也能游泳,就是周边没有大的购物中心,不过也好,都省了', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '硬件不错，推荐。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '出差一般都住这，不好不坏 也算住习惯了！', '短评打分': 5}
{'短评内容': '靠近机场  赶飞机的话比较方便的  价格不菲的', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '好 好 好好 好 好 好好 好 好 好好 ', '短评打分': 5}
{'短评内容': '推荐支持。。。经常在这里住了  比较适应这里的环境。。感觉很好。。。', '短评打分': 5}
{'短评内容': '入住很满意 值得推荐。。就是你们那个高级房 是在拐角那里的 不规则房间 应该在网上注明。。这样才能让顾客清楚了解。。才能做出正确的选择。。', '短评打分': 5}
{'短评内容': '酒店环境很好  住着很舒适 符合这个星级标准 价格稍微贵了点 但还是支持。。希望服务再接再厉。。', '短评打分': 5}
{'短评内容': '越来越贵了。装修很不错。环境不太好。服务员素质不错。', '短评打分': 5}
{'短评内容': '不错，早餐也好，安静，环境不错，硬件好，喜欢，推荐', '短评打分': 5}
{'短评内容': '勉强推荐这家酒店，在酒店的前台没有看到五星和长城的标记。服务员说是按照五星建的，你就知道是什么意思了，可是价格完全按照五星的标准收费的。\n我订的是高级房，房间小的可怜，趟在床上必须斜着头才能收看电视（房间是在转角处的不规则房间）。入住房间没有免费的水果。这样的房间在300元左右一晚就差不多了！', '短评打分': 5}
{'短评内容': '一家很不错的国际化酒店，该有的设施都有，但是餐厅部分还待加强', '短评打分': 5}
{'短评内容': '酒店整体来看比较干净，自助早餐也比较丰富。只是离机场较近不好打车，从酒店定也可以，收费30元比较高，不太划算。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '高级房已更改为豪华房，时间2月1曰-2月8日，陈彩红。', '短评打分': 3}
