{'短评内容': '餐厅菜品口味不错，量大实惠。客房设施一般，洗澡的地方没有浴帘，弄得一地的水。毛巾也灰乎乎的看着不干净', '短评打分': 4}
{'短评内容': '在辛集这是比较好的酒店了，设施一般般卫生状况也一般。二楼餐厅炒菜口味不错，量很大。辛集的空气质量真是太差了，雾霾很严重。', '短评打分': 4}
{'短评内容': '前台服务态度有待提高 房间设施偏老旧 马桶清洁不到位', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '住着还可以，部分设施有点旧，有早餐的', '短评打分': 5}
{'短评内容': '房间很大，干净舒适，价格也很合适', '短评打分': 5}
{'短评内容': '很好，比较不错', '短评打分': 5}
{'短评内容': '房间还不错，算是本地挺好的酒店', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '交通便利，环境很好', '短评打分': 5}
{'短评内容': '一般化，早餐特别差。', '短评打分': 3}
{'短评内容': '酒店位置不错，早餐一般。以前有健身中心，但现在不再是免费的了，感觉不是很爽。房间里面有些设施也比较陈旧', '短评打分': 4}
{'短评内容': '酒店卫生可以，房间也挺干净，就是房门后面有垃圾未清理，房间空调不好，冻了一个晚上。', '短评打分': 4}
