{'短评内容': '可以，。，，，', '短评打分': 5}
{'短评内容': '帮公司定的，物美价廉，交通也便利。还不错哦', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '垃圾，洗漱用品还行', '短评打分': 3}
{'短评内容': '早餐一般。房间感觉不满意。阳台门锁都消失了。', '短评打分': 2}
{'短评内容': '这种天气竟然没暖气空调，不提前告知，房间窗户太差劲了，懒得换，凑合一晚上', '短评打分': 3}
{'短评内容': '不错哦，推荐一下。。。。', '短评打分': 5}
{'短评内容': '不错哦，推荐一下。。。。', '短评打分': 5}
{'短评内容': '有点偏，周边吃的太少', '短评打分': 4}
{'短评内容': '价格合理', '短评打分': 5}
{'短评内容': '和老婆儿子一起入住该酒店，感觉还可以。', '短评打分': 4}
{'短评内容': '早餐很差，花生是坏的，包子是凉的，剩了半个包子，餐厅服务员还强迫我吃下。晕。结账发票机还坏啦。', '短评打分': 4}
{'短评内容': '总的来说还行，前台不专业，借个充电的玩意都没有', '短评打分': 4}
{'短评内容': '一般，价格还高，性价比太低', '短评打分': 3}
{'短评内容': '价格偏贵！不算坑但是性价比不高。', '短评打分': 4}
{'短评内容': '该可以，就是没有早餐', '短评打分': 5}
{'短评内容': '很满意，环境特别舒适，多次来住了', '短评打分': 5}
{'短评内容': '房间部分设施需要维修 如热水器 烧水壶 墙壁角度等 总体规划不错 设备齐全 以后把早餐加上更完美了', '短评打分': 3}
