{'短评内容': '没早餐因为客人少也不提供，酒店位置不错近雁栖湖。但入住最后一天酒店主楼关闭，我们住的静园也封闭不能从正常通道走，早上开车去早餐时未提醒，回来时门口保安也没说，开到楼边了说进不了，让开出去走后门，等我们开到后门，门没开也没半个员工值守，哪里像做生意的样子！电话前台了3次仍未有人来开门，只能徒步进入，这种服务也是没谁了！', '短评打分': 5}
{'短评内容': '环境好，服务态度好！', '短评打分': 5}
{'短评内容': '环境不错，外出不方便', '短评打分': 4}
{'短评内容': '酒店太大，房间离大厅挺远，停车方便，风景不错', '短评打分': 5}
{'短评内容': '推荐推荐', '短评打分': 5}
{'短评内容': '东西不错，价格也还行，可以', '短评打分': 4}
{'短评内容': '东西不错，价格也还行，可以', '短评打分': 4}
{'短评内容': '好。。。。。。', '短评打分': 5}
{'短评内容': '让大家知道这个破酒店，没有任何服务意识，奸商！奸商！', '短评打分': 1}
{'短评内容': '就一奸商，死活给无窗房，500多，怀柔，推脱，犯坏，说你给携程打电话3个小时也打不通，实际不是，就是让你忍，携程怎么和这垃圾酒店合作？', '短评打分': 1}
{'短评内容': '老公带我出来散心的，酒店是新装修的，还行，没什么味道，就是有虫子，建议关紧窗户就没事了，设施很好，也很干净，周围非常安静，完美！下次来怀柔还打算住这里！', '短评打分': 5}
{'短评内容': '雁栖湖旁边的酒店，很安静，但是房间比较小', '短评打分': 5}
{'短评内容': '周边环境不错，房间卫生干净，服务良好,价格稍贵。', '短评打分': 4}
{'短评内容': '很不错 值得推荐', '短评打分': 5}
{'短评内容': '酒店人少安静，可能是国企服务意识一般', '短评打分': 4}
{'短评内容': '写的有游泳池，实际不开的，餐厅有供应，实际很多套餐都没有的，要吃饭，服务员要去叫厨师的，说是四星价格，实际房间没有浴衣，无保险箱，最可笑的在房间打长途电话还要等酒店领导开完会才能派人来房间调试才行。', '短评打分': 4}
{'短评内容': '过来开会住的，前台服务员态度不错，住宿比较安静', '短评打分': 5}
{'短评内容': '酒店的服务员可以就是没有游泳没有浴巾没有保险箱根本不是四星的标配后来查询该酒店是没有星级的', '短评打分': 4}
{'短评内容': '给家人定的，他们很满意', '短评打分': 5}
