{'短评内容': '早餐很丰富，周边环境好。', '短评打分': 4}
{'短评内容': '早餐种类丰富，红汤面味道不错', '短评打分': 5}
{'短评内容': '装潢不错，门口在修路。', '短评打分': 4}
{'短评内容': '酒店局部環境還是不錯的，前面是濕地，三四百米外就是巡塘古鎮。如果想外出覓食，需要開車出去，附近沒有店家（只有在巡塘古鎮裡有書香酒店飯店）。房間寬敞，乾淨，服務不錯。住的是濕地景觀房，可以坐在房間裡盡享夕陽美景（有點遺憾的是房間是在兩棟樓鏈接處，凹進去的，房間裡可以看到兩邊其他的房間，缺少私密性。）', '短评打分': 5}
{'短评内容': '一如既往地好', '短评打分': 5}
{'短评内容': '很不错的酒店，环境优雅，房间整洁豪华，是一个性价比不错的酒店，谢谢京东的推荐', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '挺不错得酒店。挺安静的！前台办理入住续住退房都很快，打扫阿姨非常热情。。。。但每天到点就来按门铃要打扫，虽然这挺正常的，但是习惯晚起，睡得正香被门铃叫醒。。。还有拖鞋味道太大。。。', '短评打分': 5}
{'短评内容': '性价比高 交通方便', '短评打分': 4}
{'短评内容': '房间很不错。物有所值。这个价格性价比很高。房间够大，设施也很新。其他的服务设施，如健身房，没有体验过。只是离市中心有些距离。', '短评打分': 5}
{'短评内容': '还不错喽  一如既往  持续的保持着酒店一贯的作风，也算是中规中矩吧，地段不错，早餐如果在丰盛点就更好了', '短评打分': 5}
{'短评内容': '酒店环境不错，很安静。唯一觉得不足的地方就是离市中心比较远，吃饭不方便，只能打出租车到附近商场解决。', '短评打分': 5}
{'短评内容': '环境很棒，值得推荐，还会再来', '短评打分': 5}
{'短评内容': '酒店位置较偏，在展览馆旁边，比较适合商务吧，酒店前面就有一个、湿地公园，还没有修好，空气还是很好的，房间笔记宽敞，开车二公里外有一个黄金海岸商城，非常比较新，吃饭的选择很多，还有室内的儿童游乐场，购物吃喝玩乐全搞定。', '短评打分': 4}
{'短评内容': '。。ting handshakes', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很安静 很空旷 值得一住', '短评打分': 3}
{'短评内容': ' 酒店新开业，五星级标准，房间宽敞，床特别舒适。', '短评打分': 3}
