{'短评内容': '一年有大半时间住这里，相处的非常融洽，卫生和态度都蛮好，', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一直住这家，还行', '短评打分': 5}
{'短评内容': '停车方便，交通便利', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '蛮好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不是新酒店，但是属于规规矩矩的放心酒店，地理位置、房间卫生、服务态度、安全系数都不错，值得再来', '短评打分': 5}
{'短评内容': '房间很好，价格便宜', '短评打分': 5}
{'短评内容': '有差距，不值这个价', '短评打分': 2}
{'短评内容': '對面就是步行街，很多餐館夜市，吃飯停車都很方便！', '短评打分': 5}
{'短评内容': '性价比高，老四星酒店，地理位置优越', '短评打分': 5}
{'短评内容': '一般般，房间设施很陈旧，环境也不行！', '短评打分': 3}
{'短评内容': 'OK！', '短评打分': 3}
{'短评内容': '交通便利，环境极佳', '短评打分': 4}
{'短评内容': '交通便利，周围环境好', '短评打分': 5}
{'短评内容': '与酒店等级相比，已经不错了！', '短评打分': 4}
{'短评内容': '酒店地里位置好，吃，行都方便，离江边公园很近', '短评打分': 3}
{'短评内容': '哎，这20元花的不值啊，豪华和普通标间是一样的。只不过豪华标间的楼层比较低，不合算啊，只住普通标间就够了……', '短评打分': 5}
{'短评内容': '，   此酒店离江边很近，很方便，环境很好。', '短评打分': 5}
{'短评内容': '太一般了，决定不配四星。房间小，也不怎么干净。早餐到9点，可8点半去就没东西吃了。', '短评打分': 1}
{'短评内容': '，硬件还可以，也比较新，大堂有点像商务酒店，但管理感觉差了点，服务反应速度比较慢，服务意识感觉也不高，有待提高管理水平。离四星酒店还有很大差距！', '短评打分': 3}
{'短评内容': '还可以，老资格的酒店，服务一般般吧，说两个亮点：1、浴衣不错；2、电梯是HITACH的。\n要50字啊，那再打些凑数好了：\n\n酒店地理位置不错，就在长江边上。', '短评打分': 5}
{'短评内容': '服务质量好、房间干净、整洁，床、枕头睡得都很舒服', '短评打分': 5}
{'短评内容': '地点不错，靠江边很近，离购物广场也不远。酒店设施很好，这次订了特价，太值了。', '短评打分': 5}
{'短评内容': '房间有点小，不过卫生不错，服务人员的服务态度也不错。', '短评打分': 5}
{'短评内容': '挺不错的，服务态度比较好比较虚心，就是新装修有点味道', '短评打分': 5}
{'短评内容': '前台不够专业，效率太慢。', '短评打分': 3}
{'短评内容': '环境还可以，设施各方面都不错，值得入住环境还可以，设施各方面都不错，值得入住环境还可以，设施各方面都不错，值得入住', '短评打分': 5}
