{'短评内容': '很方便卫生', '短评打分': 4}
{'短评内容': '凑合可以住', '短评打分': 5}
{'短评内容': '楼下的饭店还可以。洗澡的水有点冷而且小。只能将就住下。不太推荐。希望可以改善。干净还是挺干净的。出了机场几步就到', '短评打分': 3}
{'短评内容': '地理位置不错，已经住了多次', '短评打分': 5}
{'短评内容': '位置好，方便', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 4}
{'短评内容': '服务很好，支持。', '短评打分': 5}
{'短评内容': '设施很新，不错', '短评打分': 5}
{'短评内容': '转机首选，在此转机去德令哈，非常方便，早晨6点开餐，吃过早餐步行即到出发大厅，很方便。房间也廷暖和。', '短评打分': 4}
{'短评内容': '地理位置方便，房间和价格匹配', '短评打分': 5}
{'短评内容': '转机短住，早餐牛肉面一直是最爱！', '短评打分': 3}
{'短评内容': '离候机楼非常近，步行5分钟', '短评打分': 3}
{'短评内容': '很好的！', '短评打分': 5}
{'短评内容': '离机场超近。早餐餐厅就在机场里面。对于赶飞机的旅客来说，这个酒店是最佳选择', '短评打分': 4}
{'短评内容': '机场旁边唯一的酒店，也没什么选择，吃饭价格还比较便宜', '短评打分': 4}
{'短评内容': '手机落在酒店，很快就收好，等回去认领，非常贴心', '短评打分': 5}
{'短评内容': '房间很冷，暖气就热一会，大部分时间都比手的温度低。房间没有空调。花洒出水不热，水流很小，整个晚上感觉是在冰窖中度过～不怕冷的可以去住。最最失望的是网络不通，看着是连接上了，但是就是上不了网，估计是酒店的端口跟外面网络没通。', '短评打分': 4}
{'短评内容': '选择酒店的原因，就是因为它的位置，因为半夜的飞机，可以很快入住，很方便。只是酒店的隔音不是很好，住客素质不高，开关门的声音很大，影响休息。', '短评打分': 4}
{'短评内容': '整洁干净，不错的选择，唯一的缺点就是离市区远', '短评打分': 3}
