{'短评内容': '酒店位置在很繁华的河边。闹了个笑话，今天一下高速看到金海湾，以为是订的酒店。呵呵名字太像！不过金海岸虽然不大但是位置确实好。周围都是酒店，吃喝非常方便！价格便宜，卫生环境还不错！', '短评打分': 5}
{'短评内容': '你好', '短评打分': 5}
{'短评内容': '还可以 就是毛巾不太好用的', '短评打分': 3}
{'短评内容': '房间挺好的 ，新装修的，老板娘很热情，下次还会住。', '短评打分': 3}
{'短评内容': '入住的还是非常不错的 房间比我想的要大 老板人也挺好的 而且酒店刚装修了的 墙纸都是新的 电脑网速也挺快的', '短评打分': 3}
{'短评内容': '还不错，春节可以订到房间，方便！', '短评打分': 5}
{'短评内容': '此次出行入住的最烂地方.我觉得无法将之称为酒店.态度差.设施差.居然是蹲坑.房间吭异味.晚上门前道路各种车辆川流不息.楼下网吧各种奇怪的声音使人彻夜难眠.卫生间里各处漏水.早上大便后水流太小冲不了.本很愉快的旅行.让一睌恶梦般住宿搞坏了.这样的破店居然被贵网接线员推荐.还称90以上的好评.还每睌128元房价.我呸.早知道是这样子倒贴200元也不住.早上天不亮就赶快 .逃离了这鬼地方.以上所述句句属', '短评打分': 3}
{'短评内容': '蟑螂到处爬、环境脏乱差！', '短评打分': 1}
{'短评内容': '蟑螂到处爬，设施脏乱差！', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '酒店位置还好，其他不作评', '短评打分': 3}
