{'短评内容': '好东西，大品牌，值得信赖。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。 ', '短评打分': 5}
{'短评内容': '旅店干净整洁，交通方便，周围饭店及小吃店众多，非常便利。不能加床，没有停车场。', '短评打分': 5}
{'短评内容': '还可以吧！', '短评打分': 4}
{'短评内容': '网络有点慢，其余的都挺好的', '短评打分': 5}
{'短评内容': '安静，方便，地铁近', '短评打分': 5}
{'短评内容': '酒店还是不错的 卫生干净整洁 性价比超高 非常好 周围吃饭方便 去市中心观前街也非常方便 有地铁 希望进一步提高服务 下次再住', '短评打分': 5}
{'短评内容': '挺好的，一直入住这里', '短评打分': 5}
{'短评内容': '很好的酒店  价格实惠， 一百个赞，，，，，，，，，，，，，，，，，，，，，，，，，以后旅游还是在这边休息', '短评打分': 5}
{'短评内容': '还是非常不错的，适合商务出差', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '很好，距离火车站坐一站公交就可以到达，装修是全国统一卫生干净，值得推荐', '短评打分': 5}
{'短评内容': '价格便宜空间一般', '短评打分': 4}
{'短评内容': '住了三天，真心不错？', '短评打分': 3}
{'短评内容': '喜欢出差的时候住在经济连锁酒店。干净，安全，舒适。成年在外要求不高都可以选择。交通方便，吃饭附近都有是我的首选。', '短评打分': 4}
{'短评内容': '干净卫生，环境不错周边。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '空调有点问题，要修一修了，房间虽小五脏俱全，还可以，但隔音效果有点差。卫生间有点小，如果要住的舒服还是大房间好点。', '短评打分': 5}
{'短评内容': '不错，挺好的，经常住', '短评打分': 5}
{'短评内容': '经济型酒店，还是挺不错的', '短评打分': 5}
{'短评内容': '一切还好，很不错，一切都方便，房间也可以。', '短评打分': 5}
{'短评内容': '给满分的好评，很好。', '短评打分': 5}
{'短评内容': '酒店很好，出去交通这些也很方便。', '短评打分': 5}
{'短评内容': '感觉挺好，价格实惠，住的也舒心。', '短评打分': 5}
{'短评内容': '吃货们有福了', '短评打分': 5}
{'短评内容': '门前大排档一条街，周围公交四通八达，房间虽然小点都是干净服务也很周到', '短评打分': 5}
{'短评内容': '房价电视、空调、网络、洗浴样样齐全，就是有点挤，另外隔音不是很好', '短评打分': 4}
{'短评内容': '干净舒适，出门就是大排档一条街，交通也很方便', '短评打分': 5}
{'短评内容': '离火车站近，房间虽小，但很精致，唯一的不足是洗澡水太热了，打到冷水处都烫烫得。', '短评打分': 5}
{'短评内容': '酒店地理位置极佳到哪里乘车都很方便，环境卫生不错，酒店位于餐饮一条街吃喝也很方便，就是凳子能换个靠背的就好了，这点是百时的通病', '短评打分': 5}
{'短评内容': '价格低廉，服务不错，房间干净整洁，窗户是我住过的百时中最大的，美中不足就是临街大排档一条街会有点吵', '短评打分': 5}
