{'短评内容': '位置方便，早餐可以', '短评打分': 5}
{'短评内容': '房间干净整洁，很不错。服务很好。出行方便，楼下就是车站，方便坐车，主要是方便。有停车场。', '短评打分': 5}
{'短评内容': '长途汽车站附近方便快捷', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '很好，很方便', '短评打分': 5}
{'短评内容': '还行 坐车近 酒店设施有点陈旧', '短评打分': 5}
{'短评内容': '交通方便，出门就是brt ，到高铁站半小时。\n小卖部生活用品齐全，室内设施算齐全，隔音凑合。\n讲讲不好的，定的商务大床房，这床会&amp;ldquo;咯吱咯吱&amp;rdquo;响。', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 4}
{'短评内容': '价格实惠，交通方便', '短评打分': 5}
{'短评内容': '就在汽车站，出行方便。周边环境一般。', '短评打分': 4}
{'短评内容': '帮朋友订的，房间很小，但是汽车站旁边很方便', '短评打分': 4}
{'短评内容': '住着还行，对得起这个价，连锁酒店经济酒店的正常标准。提醒一点，有WIFI强迫症的人最好不住，22点申请加入短信验证码24点才到。', '短评打分': 4}
{'短评内容': '一直信赖的酒店，赞一个！', '短评打分': 5}
{'短评内容': '不错，舒适', '短评打分': 5}
{'短评内容': '挺好的，比较舒适', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '交通方便，房间干净，服务很好。', '短评打分': 5}
{'短评内容': '交通方便，但是无窗最好先说明下。', '短评打分': 5}
